episode,step,job_idx,operation_id,reward,makespan,current_time,setup_time,job_completed,reward_makespan_reward,reward_setup_reward,reward_deadline_reward,reward_priority_reward,reward_critical_job_reward,reward_placement_reward,reward_lookahead_reward,reward_timeliness_reward,reward_machine_idle_penalty,reward_credit_assignment_penalty
1,43,2,J3:OP6,-2.9626317024230957,2075,2075.0,20,False,-10.375,-237.5,40.0,40.0,31.2875,0.0,285.9428571428571,-52.95208740234375,-193.0125,0.0
1,44,15,J16:OP6,43.983299255371094,2125,2125.0,20,True,-10.625,-242.5,60.0,68.0,31.2875,0.0,292.9428571428571,-54.0187873840332,-197.71249999999998,0.0
1,45,7,J8:OP5,-0.8780710697174072,2189,2189.0,15,False,-10.945,-246.25,60.0,68.0,31.2875,0.0,299.9428571428571,-55.089359283447266,-200.45,0.0
1,46,1,J2:OP5,-2.0337374210357666,2233,2233.0,20,False,-11.165000000000001,-251.25,60.0,68.0,31.2875,0.0,306.9428571428571,-55.865596771240234,-203.48749999999998,0.0
1,47,18,J19:OP1,-5.146539688110352,2288,2288.0,40,False,-11.440000000000001,-261.25,60.0,68.0,31.7875,0.0,314.3428571428571,-56.712135314941406,-205.4125,0.0
1,48,19,J20:OP3,0.6746383905410767,2327,2327.0,15,False,-11.635000000000002,-265.0,60.0,68.0,31.7875,0.0,321.5428571428571,-57.62999725341797,-207.075,0.0
1,49,7,J8:OP6,39.16048812866211,2377,2377.0,20,True,-11.885000000000002,-270.0,80.0,88.0,31.7875,0.0,328.3928571428571,-58.332008361816406,-208.8125,0.0
1,50,1,J2:OP6,31.748912811279297,2413,2413.0,15,True,-12.065000000000001,-273.75,100.0,100.0,31.7875,0.0,334.93571428571425,-59.18345260620117,-210.825,0.0
1,51,12,J13:OP1,-2.6936593055725098,2479,2479.0,25,False,-12.395000000000001,-280.0,100.0,100.0,31.7875,0.0,341.4785714285714,-59.739967346191406,-212.92499999999998,0.0
1,52,3,J4:OP2,-0.9405099153518677,2514,2514.0,20,False,-12.570000000000002,-285.0,100.0,100.0,31.7875,0.0,348.02142857142854,-60.34833526611328,-214.62499999999997,0.0
1,53,13,J14:OP2,-2.0553359985351562,2550,2550.0,20,False,-12.750000000000002,-290.0,100.0,100.0,31.7875,0.0,354.5642857142857,-61.166526794433594,-217.22499999999997,0.0
1,54,19,J20:OP4,-0.8591796159744263,2606,2606.0,15,False,-13.030000000000001,-293.75,100.0,100.0,31.7875,0.0,360.7642857142857,-61.908206939697266,-219.51249999999996,0.0
1,55,3,J4:OP3,-2.6340675354003906,2661,2661.0,15,False,-13.305000000000001,-297.5,100.0,100.0,31.7875,0.0,366.45,-62.540489196777344,-223.17499999999995,0.0
1,56,19,J20:OP5,-3.954564332962036,2698,2698.0,20,False,-13.490000000000002,-302.5,100.0,100.0,31.7875,0.0,371.5833333333333,-63.243385314941406,-226.37499999999994,0.0
1,57,2,J3:OP7,61.3136388443301,2728,2728.0,20,True,-13.640000000000002,-307.5,120.0,132.0,44.84934486373166,0.0,377.68333333333334,-63.99159240722656,-230.32499999999993,0.0
1,58,3,J4:OP4,-5.3635382652282715,2762,2762.0,20,False,-13.810000000000002,-312.5,120.0,132.0,44.84934486373166,0.0,384.2261904761905,-65.92798614501953,-235.12499999999994,0.0
1,59,9,J10:OP2,-5.351386070251465,2807,2807.0,20,False,-14.035000000000002,-317.5,120.0,132.0,45.34934486373166,0.0,390.0261904761905,-66.42937469482422,-241.04999999999995,0.0
1,60,5,J6:OP4,-3.8531785011291504,2880,2880.0,15,False,-14.400000000000002,-321.25,120.0,132.0,45.84934486373166,0.0,396.1261904761905,-66.8425521850586,-246.97499999999997,0.0
1,61,13,J14:OP3,-6.6373724937438965,2917,2917.0,15,False,-14.585000000000003,-325.0,120.0,132.0,45.84934486373166,0.0,401.9261904761905,-68.49492645263672,-253.82499999999996,0.0
1,62,19,J20:OP6,-7.7086181640625,2957,2957.0,15,False,-14.785000000000002,-328.75,120.0,132.0,45.84934486373166,0.0,407.72619047619054,-70.20354461669922,-261.67499999999995,0.0
1,63,13,J14:OP4,-8.152898788452148,2995,2995.0,20,False,-14.975000000000001,-333.75,120.0,132.0,45.84934486373166,0.0,413.52619047619055,-72.04144287109375,-268.59999999999997,0.0
1,64,3,J4:OP5,-9.428421974182129,3040,3040.0,20,False,-15.200000000000001,-338.75,120.0,132.0,45.84934486373166,0.0,419.1261904761906,-73.79486846923828,-276.65,0.0
1,65,13,J14:OP5,-10.526142120361328,3089,3089.0,20,False,-15.445,-343.75,120.0,132.0,45.84934486373166,0.0,424.9261904761906,-75.60101318359375,-285.92499999999995,0.0
1,66,0,J1:OP2,-11.65446662902832,3125,3125.0,20,False,-15.625,-348.75,120.0,132.0,45.84934486373166,0.0,430.5261904761906,-77.50048065185547,-296.09999999999997,0.0
1,67,3,J4:OP6,-12.268513679504395,3169,3169.0,20,False,-15.845,-353.75,120.0,132.0,45.84934486373166,0.0,436.62619047619063,-79.37399291992188,-307.37499999999994,0.0
1,68,3,J4:OP7,18.002910614013672,3210,3210.0,15,True,-16.05,-357.5,119.5892274211099,160.0,45.84934486373166,0.0,442.42619047619064,-81.15531158447266,-317.0249999999999,0.0
1,69,9,J10:OP3,-10.769549369812012,3264,3264.0,15,False,-16.32,-361.25,119.5892274211099,160.0,46.34934486373166,0.0,448.02619047619066,-83.0048599243164,-328.0249999999999,0.0
1,70,19,J20:OP7,-0.8514013290405273,3319,3319.0,15,True,-16.595,-365.0,119.06535715871922,172.0,46.34934486373166,0.0,453.8261904761907,-84.73239135742188,-340.3999999999999,0.0
1,71,12,J13:OP2,-12.843033790588379,3362,3362.0,20,False,-16.81,-370.0,119.06535715871922,172.0,46.34934486373166,0.0,459.298917748918,-86.2581558227539,-351.9749999999999,0.0
1,72,13,J14:OP6,-13.911840438842773,3412,3412.0,20,False,-17.06,-375.0,119.06535715871922,172.0,46.34934486373166,0.0,464.898917748918,-87.69499969482422,-364.7999999999999,0.0
1,73,5,J6:OP5,36.50564916235028,3468,3468.0,15,True,-17.34,-378.75,118.55494049205255,212.0,56.399344863731656,0.0,470.3716450216453,-89.10916137695312,-377.8624999999999,0.0
1,74,13,J14:OP7,-13.17982292175293,3507,3507.0,15,False,-17.535,-382.5,118.55494049205255,212.0,56.399344863731656,0.0,475.8443722943726,-90.47920989990234,-391.1999999999999,0.0
1,75,0,J1:OP3,-13.926006317138672,3558,3558.0,15,False,-17.79,-386.25,118.55494049205255,212.0,56.399344863731656,0.0,481.3170995670999,-91.74794006347656,-405.3249999999999,0.0
1,76,12,J13:OP3,-15.847521781921387,3626,3626.0,15,False,-18.13,-390.0,118.55494049205255,212.0,56.399344863731656,0.0,486.7898268398272,-93.15319061279297,-421.14999999999986,0.0
1,77,0,J1:OP4,-16.295455932617188,3664,3664.0,20,False,-18.32,-395.0,118.55494049205255,212.0,56.399344863731656,0.0,492.2625541125545,-94.4438705444336,-436.4374999999999,0.0
1,78,12,J13:OP4,-17.49413299560547,3706,3706.0,20,False,-18.53,-400.0,118.55494049205255,212.0,56.399344863731656,0.0,497.66255411255446,-95.7905044555664,-452.77499999999986,0.0
1,79,11,J12:OP1,-9.107999801635742,3777,3777.0,40,False,-18.885,-410.0,118.55494049205255,212.0,56.399344863731656,0.0,503.06255411255444,-97.16850280761719,-455.54999999999984,0.0
1,80,9,J10:OP4,-3.443079948425293,3819,3819.0,20,False,-19.095000000000002,-415.0,118.55494049205255,212.0,56.899344863731656,0.0,508.53528138528173,-98.43681335449219,-458.48749999999984,0.0
1,81,10,J11:OP1,-10.348553657531738,3890,3890.0,40,False,-19.450000000000003,-425.0,118.55494049205255,212.0,56.899344863731656,0.0,513.9352813852818,-99.64286804199219,-462.67499999999984,0.0
1,82,13,J14:OP8,5.627626419067383,3931,3931.0,20,True,-19.655,-430.0,117.64261410316367,224.0,56.899344863731656,0.0,519.3352813852817,-100.97291564941406,-466.99999999999983,0.0
1,83,12,J13:OP5,25.024799346923828,3999,3999.0,15,True,-19.995,-433.75,116.65064763442459,252.0,56.899344863731656,0.0,524.7352813852817,-102.05364990234375,-469.2124999999998,0.0
1,84,18,J19:OP2,-2.989441156387329,4049,4049.0,20,False,-20.245,-438.75,116.65064763442459,252.0,57.399344863731656,0.0,530.1045121545125,-103.04981994628906,-471.8249999999998,0.0
1,85,16,J17:OP1,-4.010849952697754,4112,4112.0,25,False,-20.560000000000002,-445.0,116.65064763442459,252.0,57.399344863731656,0.0,535.5772394272398,-103.76839447021484,-474.0249999999998,0.0
1,86,0,J1:OP5,-3.2408151626586914,4154,4154.0,20,False,-20.770000000000003,-450.0,116.65064763442459,252.0,57.399344863731656,0.0,540.9772394272397,-104.73670959472656,-476.4874999999998,0.0
1,87,11,J12:OP2,-4.2728729248046875,4196,4196.0,20,False,-20.980000000000004,-455.0,116.65064763442459,252.0,57.399344863731656,0.0,546.3772394272397,-105.68708038330078,-479.9999999999998,0.0
1,88,0,J1:OP6,21.709169387817383,4228,4228.0,20,True,-21.140000000000004,-460.0,115.36211716847477,280.0,57.399344863731656,0.0,551.7772394272397,-106.61688232421875,-484.3124999999998,0.0
1,89,8,J9:OP2,-5.276097774505615,4264,4264.0,20,False,-21.320000000000004,-465.0,115.36211716847477,280.0,57.899344863731656,0.0,557.1464701964704,-107.36971282958984,-489.52499999999975,0.0
1,90,10,J11:OP2,-5.191332817077637,4292,4292.0,15,False,-21.460000000000004,-468.75,115.36211716847477,280.0,57.899344863731656,0.0,562.5464701964704,-108.1585464477539,-495.4374999999998,0.0
1,91,18,J19:OP3,-2.04710054397583,4329,4329.0,15,False,-21.645000000000003,-472.5,115.36211716847477,280.0,58.399344863731656,0.0,567.9464701964704,-108.99564361572266,-498.6124999999998,0.0
1,92,10,J11:OP3,-4.032773017883301,4386,4386.0,15,False,-21.930000000000003,-476.25,115.36211716847477,280.0,58.399344863731656,0.0,573.3464701964704,-109.79341888427734,-503.2124999999998,0.0
1,93,10,J11:OP4,-4.9897990226745605,4423,4423.0,15,False,-22.115000000000002,-480.0,115.36211716847477,280.0,58.399344863731656,0.0,578.7464701964703,-110.72322082519531,-508.7374999999998,0.0
1,94,10,J11:OP5,-6.379854679107666,4477,4477.0,15,False,-22.385,-483.75,115.36211716847477,280.0,58.399344863731656,0.0,584.1464701964703,-111.60807800292969,-515.6124999999997,0.0
1,95,9,J10:OP5,-5.57286262512207,4508,4508.0,20,False,-22.540000000000003,-488.75,115.36211716847477,280.0,58.899344863731656,0.0,589.5464701964703,-112.58843994140625,-520.9499999999997,0.0
1,96,11,J12:OP3,-5.917305946350098,4568,4568.0,15,False,-22.840000000000003,-492.5,115.36211716847477,280.0,58.899344863731656,0.0,594.915700965701,-113.3749771118164,-527.3999999999997,0.0
