episode,step,job_idx,reward,makespan,current_time,setup_time,job_completed
2,21,1,2.3347823466709,1124.0,1124.0,40,False
2,22,14,16.800914011272923,1157.0,1157.0,20,False
2,23,14,19.227462011331053,1207.0,1207.0,15,False
2,24,4,1.3918269395472405,1242.0,1242.0,20,False
2,25,16,6.875992595888913,1305.0,1305.0,25,False
2,26,6,19.818933338602974,1348.0,1348.0,20,False
2,27,3,11.794418285980282,1383.0,1383.0,20,False
2,28,8,10.079728788635624,1448.0,1448.0,25,False
2,29,15,8.259248337656706,1514.0,1514.0,40,False
2,30,16,9.030026933919395,1554.0,1554.0,20,False
2,31,8,15.869170123145206,1585.0,1585.0,15,False
2,32,1,8.687744841534105,1610.0,1610.0,15,False
2,33,5,20.0,1643.0,1643.0,20,False
2,34,16,12.783360598831415,1692.0,1692.0,15,False
2,35,15,15.397226187864794,1722.0,1722.0,15,False
2,36,8,17.298666051670683,1786.0,1786.0,10,False
2,37,18,17.94573283633856,1823.0,1823.0,15,False
2,38,7,13.95065973848846,1896.0,1896.0,15,False
2,39,6,20.0,1942.0,1942.0,20,False
2,40,13,1.3396777887620142,2000.0,2000.0,40,False
2,41,18,20.0,2033.0,2033.0,20,False
2,42,7,18.637973563276713,2097.0,2097.0,15,False
2,43,2,12.867897332479703,2137.0,2137.0,20,False
2,44,6,20.0,2175.0,2175.0,20,False
2,45,6,20.0,2205.0,2205.0,15,False
2,46,10,12.776416593772263,2262.0,2262.0,15,False
2,47,10,17.730173352925636,2299.0,2299.0,15,False
2,48,19,1.6214975446265636,2358.0,2358.0,40,False
2,49,8,19.66291363699,2401.0,2401.0,20,False
2,50,8,20.0,2433.0,2433.0,20,False
2,51,11,0.9932779540556831,2489.0,2489.0,25,False
2,52,8,20.0,2555.0,2555.0,15,False
2,53,12,17.32330169010963,2623.0,2623.0,15,False
2,54,10,19.248290525550274,2677.0,2677.0,15,False
2,55,19,2.3446532885673084,2722.0,2722.0,20,False
2,56,18,18.4271610818762,2759.0,2759.0,20,False
2,57,6,20.0,2804.0,2804.0,20,True
2,58,2,13.950260505601287,2877.0,2877.0,15,False
2,59,2,15.12325811676284,2927.0,2927.0,20,False
2,60,7,10.404779983990228,2977.0,2977.0,20,True
2,61,18,18.759145666126376,3018.0,3018.0,20,False
2,62,18,18.98551994076416,3063.0,3063.0,20,True
2,63,5,20.0,3116.0,3116.0,15,False
2,64,11,0.5552410412860966,3158.0,3158.0,20,False
2,65,15,17.212085184779628,3198.0,3198.0,10,False
