episode,step,job_idx,operation_id,reward,makespan,current_time,setup_time,job_completed,reward_makespan_reward,reward_setup_reward,reward_idle_penalty,reward_deadline_reward,reward_priority_reward,reward_critical_job_reward,reward_global_progress_reward,reward_placement_reward,reward_lookahead_reward,reward_timeliness_reward,reward_machine_idle_penalty,reward_credit_assignment_penalty
1,39,10,J11:OP4,17.012543787148736,1913,1913.0,10,False,-9.565000000000001,-212.5,0.0,80.0,84.0,0.0,21.5,185.0,255.80000000000013,453.6193302352522,-120.53749999999997,0.0
1,40,13,J14:OP4,6.518707751556291,1951,1951.0,20,False,-9.755,-217.5,0.0,80.0,84.0,0.0,23.5,187.0,262.60000000000014,458.6405379868085,-124.64999999999996,0.0
1,41,2,J3:OP2,9.283617187774768,1991,1991.0,20,False,-9.955,-222.5,0.0,80.0,84.0,0.0,25.5,193.0,269.40000000000015,463.4366551745833,-129.76249999999996,0.0
1,42,11,J12:OP1,9.375990398480639,2047,2047.0,25,False,-10.235,-228.75,0.0,80.0,84.0,0.0,27.5,198.0,276.20000000000016,467.9176455730639,-132.13749999999996,0.0
1,43,10,J11:OP5,13.307118137375584,2101,2101.0,15,False,-10.504999999999999,-232.5,0.0,80.0,84.0,0.0,29.5,204.0,283.40000000000015,472.0947637104395,-134.18749999999997,0.0
1,44,3,J4:OP3,11.217618612175992,2156,2156.0,15,False,-10.78,-236.25,0.0,80.0,84.0,0.0,31.5,210.0,290.20000000000016,475.9623823226155,-137.61249999999998,0.0
1,45,7,J8:OP1,0.7031100305982494,2215,2215.0,40,False,-11.075,-246.25,0.0,80.0,84.0,0.0,33.5,212.0,297.20000000000016,479.49799235321376,-141.14999999999998,0.0
1,46,3,J4:OP4,11.586783051383955,2249,2249.0,20,False,-11.245,-251.25,0.0,80.0,84.0,0.0,35.5,218.0,304.20000000000016,482.84227540459773,-142.73749999999998,0.0
1,47,2,J3:OP3,10.36849277248268,2322,2322.0,15,False,-11.61,-255.0,0.0,80.0,84.0,0.0,37.5,224.0,310.00000000000017,485.7757681770804,-144.98749999999998,0.0
1,48,8,J9:OP2,9.11341126507931,2358,2358.0,20,False,-11.79,-260.0,0.0,80.0,84.0,0.0,39.5,230.0,315.8000000000002,488.50667944215974,-147.225,0.0
1,49,10,J11:OP6,7.860916779295687,2395,2395.0,20,False,-11.975,-265.0,0.0,80.0,84.0,0.0,41.5,236.0,321.4857142857145,491.0293819357411,-150.3875,0.0
1,50,16,J17:OP5,4.406930327436431,2460,2460.0,15,False,-12.299999999999999,-268.75,0.0,80.0,84.0,0.0,43.5,238.0,327.6857142857145,493.18631226317757,-154.2625,0.0
1,51,19,J20:OP2,2.6912034431822187,2505,2505.0,20,False,-12.524999999999999,-273.75,0.0,80.0,84.0,0.0,45.5,240.0,333.88571428571447,495.0900157063598,-158.45,0.0
1,52,2,J3:OP4,4.134840238455318,2555,2555.0,20,False,-12.774999999999999,-278.75,0.0,80.0,84.0,0.0,47.5,246.0,339.08571428571446,496.7123559448151,-163.8875,0.0
1,53,16,J17:OP6,4.242630444503619,2624,2624.0,10,False,-13.12,-281.25,0.0,80.0,84.0,0.0,49.5,251.0,343.9142857142859,497.9464149607473,-169.86249999999998,0.0
1,54,10,J11:OP7,2.453785352533022,2666,2666.0,20,False,-13.33,-286.25,0.0,80.0,84.0,0.0,51.5,257.0,348.7428571428573,498.9441288847089,-176.02499999999998,0.0
1,55,9,J10:OP1,1.593265194869141,2738,2738.0,40,False,-13.69,-296.25,0.0,80.0,84.0,0.0,53.5,263.0,354.4285714285716,499.53667979386375,-178.34999999999997,0.0
1,56,3,J4:OP5,6.250038310614929,2783,2783.0,20,False,-13.915,-301.25,0.0,80.0,84.0,0.0,55.5,269.0,360.1142857142859,499.8760038187644,-180.89999999999998,0.0
1,57,1,J2:OP1,-3.843302764393484,2839,2839.0,40,False,-14.194999999999999,-311.25,0.0,80.0,84.0,0.0,57.5,271.0,365.91428571428594,499.9002010543709,-184.28749999999997,0.0
1,58,1,J2:OP2,0.6124999999999998,2869,2869.0,20,False,-14.344999999999999,-316.25,0.0,80.0,84.0,0.0,59.5,273.0,371.1142857142859,499.9002010543709,-187.72499999999997,0.0
1,59,7,J8:OP2,4.1725,2897,2897.0,15,False,-14.485,-320.0,0.0,80.0,84.0,0.0,61.5,278.0,376.3142857142859,499.9002010543709,-191.86249999999995,0.0
1,60,2,J3:OP5,2.9525000000000006,2934,2934.0,20,False,-14.67,-325.0,0.0,80.0,84.0,0.0,63.5,284.0,381.5142857142859,499.9002010543709,-196.92499999999995,0.0
1,61,9,J10:OP2,1.7875000000000005,2979,2979.0,20,False,-14.895,-330.0,0.0,80.0,84.0,0.0,65.5,290.0,386.7142857142859,499.9002010543709,-203.11249999999995,0.0
1,62,13,J14:OP5,-3.4575000000000005,3028,3028.0,20,False,-15.139999999999999,-335.0,0.0,80.0,84.0,0.0,67.5,292.0,391.9142857142859,499.9002010543709,-210.52499999999995,0.0
1,63,16,J17:OP7,30.028645833333332,3063,3063.0,10,True,-15.315,-337.5,0.0,79.84114583333333,108.0,0.0,70.0,297.0,396.5142857142859,499.9002010543709,-213.76249999999996,0.0
1,64,13,J14:OP6,4.199999999999999,3108,3108.0,15,False,-15.54,-341.25,0.0,79.84114583333333,108.0,0.0,72.5,302.0,401.1142857142859,499.9002010543709,-217.68749999999997,0.0
1,65,13,J14:OP7,3.254999999999999,3147,3147.0,15,False,-15.735,-345.0,0.0,79.84114583333333,108.0,0.0,75.0,307.0,405.71428571428595,499.9002010543709,-222.58749999999998,0.0
1,66,10,J11:OP8,30.184265873015875,3196,3196.0,20,True,-15.979999999999999,-350.0,0.0,79.56684027777777,136.0,0.0,78.0,313.0,410.5428571428574,499.9002010543709,-228.71249999999998,0.0
1,67,6,J7:OP1,-0.31250000000000044,3271,3271.0,40,False,-16.354999999999997,-360.0,0.0,79.56684027777777,136.0,0.0,81.0,319.0,415.1428571428574,499.9002010543709,-232.24999999999997,0.0
1,68,11,J12:OP2,0.7399999999999993,3313,3313.0,20,False,-16.564999999999998,-365.0,0.0,79.56684027777777,136.0,0.0,84.0,321.0,419.7428571428574,499.9002010543709,-235.89999999999998,0.0
1,69,1,J2:OP3,4.035,3356,3356.0,15,False,-16.779999999999998,-368.75,0.0,79.56684027777777,136.0,0.0,87.0,323.0,424.34285714285744,499.9002010543709,-237.49999999999997,0.0
1,70,9,J10:OP3,6.63,3410,3410.0,15,False,-17.049999999999997,-372.5,0.0,79.56684027777777,136.0,0.0,90.0,329.0,428.94285714285746,499.9002010543709,-240.44999999999996,0.0
1,71,11,J12:OP3,1.0999999999999996,3470,3470.0,15,False,-17.349999999999998,-376.25,0.0,79.56684027777777,136.0,0.0,93.0,331.0,433.5428571428575,499.9002010543709,-244.89999999999995,0.0
1,72,9,J10:OP4,4.852500000000001,3512,3512.0,20,False,-17.56,-381.25,0.0,79.56684027777777,136.0,0.0,96.0,337.0,438.1428571428575,499.9002010543709,-248.43749999999994,0.0
1,73,9,J10:OP5,3.932500000000001,3543,3543.0,20,False,-17.715,-386.25,0.0,79.56684027777777,136.0,0.0,99.0,343.0,442.5428571428575,499.9002010543709,-252.74999999999994,0.0
1,74,9,J10:OP6,7.4141666666666675,3576,3576.0,15,False,-17.88,-390.0,0.0,79.56684027777777,136.0,0.0,102.0,352.0,447.0095238095241,499.9002010543709,-257.88749999999993,0.0
1,75,19,J20:OP3,5.134166666666666,3610,3610.0,10,False,-18.05,-392.5,0.0,79.56684027777777,136.0,0.0,105.0,357.0,451.47619047619077,499.9002010543709,-262.54999999999995,0.0
1,76,6,J7:OP2,3.0725,3653,3653.0,20,False,-18.265,-397.5,0.0,79.56684027777777,136.0,0.0,108.0,363.0,456.0761904761908,499.9002010543709,-267.86249999999995,0.0
1,77,9,J10:OP7,2.1575000000000006,3684,3684.0,20,False,-18.42,-402.5,0.0,79.56684027777777,136.0,0.0,111.0,369.0,460.47619047619077,499.9002010543709,-273.94999999999993,0.0
1,78,19,J20:OP4,-1.1925,3740,3740.0,15,False,-18.700000000000003,-406.25,0.0,79.56684027777777,136.0,0.0,114.0,371.0,464.87619047619074,499.9002010543709,-280.51249999999993,0.0
1,79,19,J20:OP5,-2.3725000000000005,3777,3777.0,20,False,-18.885,-411.25,0.0,79.56684027777777,136.0,0.0,117.0,373.0,469.47619047619077,499.9002010543709,-287.29999999999995,0.0
1,80,14,J15:OP1,8.314166666666667,3825,3825.0,25,False,-19.125,-417.5,0.0,79.56684027777777,136.0,0.0,120.0,382.0,473.9428571428574,499.9002010543709,-288.9625,0.0
1,81,9,J10:OP8,72.09607638888889,3857,3857.0,20,True,-19.285,-422.5,0.0,78.71875,172.0,30.0,123.5,388.0,478.40952380952405,499.9002010543709,-290.825,0.0
1,82,19,J20:OP6,4.531818181818181,3897,3897.0,15,False,-19.485,-426.25,0.0,78.71875,172.0,30.0,127.0,390.0,482.7913419913422,499.9002010543709,-292.22499999999997,0.0
1,83,11,J12:OP4,2.686666666666666,3943,3943.0,20,False,-19.715,-431.25,0.0,78.71875,172.0,30.0,130.5,392.0,487.25800865800886,499.9002010543709,-294.275,0.0
1,84,11,J12:OP5,1.4100000000000001,3991,3991.0,20,False,-19.955,-436.25,0.0,78.71875,172.0,30.0,134.0,394.0,491.65800865800884,499.9002010543709,-297.525,0.0
1,85,19,J20:OP7,18.14333090379009,4041,4041.0,10,True,-20.205,-438.75,0.0,77.53708090379008,184.0,30.0,138.0,399.0,496.0580086580088,499.9002010543709,-300.84999999999997,0.0
1,86,3,J4:OP6,5.361818181818181,4085,4085.0,20,False,-20.424999999999997,-443.75,0.0,77.53708090379008,184.0,30.0,142.0,405.0,500.439826839827,499.9002010543709,-304.65,0.0
1,87,3,J4:OP7,33.41043261779932,4126,4126.0,15,True,-20.629999999999995,-447.5,0.0,76.29569533977123,212.0,30.0,146.5,411.0,504.82164502164517,499.9002010543709,-308.92499999999995,0.0
1,88,5,J6:OP2,5.129318181818181,4159,4159.0,20,False,-20.794999999999995,-452.5,0.0,76.29569533977123,212.0,30.0,151.0,417.0,509.20346320346334,499.9002010543709,-313.51249999999993,0.0
1,89,13,J14:OP8,11.482820512820513,4200,4200.0,20,True,-20.999999999999993,-457.5,0.0,75.1498620064379,224.0,30.0,156.0,419.0,513.6496170496172,499.9002010543709,-319.12499999999994,0.0
1,90,11,J12:OP6,-0.6706818181818184,4248,4248.0,20,False,-21.23999999999999,-462.5,0.0,75.1498620064379,224.0,30.0,161.0,421.0,518.0314352314354,499.9002010543709,-325.93749999999994,0.0
1,91,18,J19:OP1,2.2249999999999996,4303,4303.0,40,False,-21.51499999999999,-472.5,0.0,75.1498620064379,224.0,30.0,166.0,427.0,522.4314352314353,499.9002010543709,-328.8374999999999,0.0
1,92,18,J19:OP2,6.733653846153846,4353,4353.0,20,False,-21.76499999999999,-477.5,0.0,75.1498620064379,224.0,30.0,171.0,433.0,526.8775890775892,499.9002010543709,-332.2999999999999,0.0
1,93,7,J8:OP3,5.001153846153846,4422,4422.0,15,False,-22.10999999999999,-481.25,0.0,75.1498620064379,224.0,30.0,176.0,435.0,531.323742923743,499.9002010543709,-334.6499999999999,0.0
1,94,1,J2:OP4,3.728653846153846,4463,4463.0,20,False,-22.314999999999987,-486.25,0.0,75.1498620064379,224.0,30.0,181.0,437.0,535.7698967698968,499.9002010543709,-337.1624999999999,0.0
1,95,1,J2:OP5,2.6136538461538463,4507,4507.0,20,False,-22.534999999999986,-491.25,0.0,75.1498620064379,224.0,30.0,186.0,439.0,540.2160506160507,499.9002010543709,-340.7749999999999,0.0
1,96,11,J12:OP7,8.555268075445337,4549,4549.0,20,True,-22.744999999999987,-496.25,0.0,73.67763008188324,232.0,30.0,191.5,441.0,544.6160506160506,499.9002010543709,-345.43749999999994,0.0
1,97,6,J7:OP3,7.951153846153846,4588,4588.0,15,False,-22.939999999999987,-500.0,0.0,73.67763008188324,232.0,30.0,197.0,447.0,549.0622044622045,499.9002010543709,-349.48749999999995,0.0
1,98,1,J2:OP6,14.006111111111114,4624,4624.0,15,True,-23.119999999999987,-503.75,0.0,72.16374119299435,244.0,30.0,203.0,449.0,553.4622044622045,499.9002010543709,-354.43749999999994,0.0
1,99,5,J6:OP3,6.156153846153847,4677,4677.0,15,False,-23.384999999999987,-507.5,0.0,72.16374119299435,244.0,30.0,209.0,455.0,557.9083583083583,499.9002010543709,-360.7124999999999,0.0
1,100,2,J3:OP6,5.541153846153846,4718,4718.0,20,False,-23.589999999999986,-512.5,0.0,72.16374119299435,244.0,30.0,215.0,461.0,562.3545121545121,499.9002010543709,-366.4124999999999,0.0
1,101,18,J19:OP3,6.398653846153845,4755,4755.0,15,False,-23.774999999999984,-516.25,0.0,72.16374119299435,244.0,30.0,221.0,467.0,566.800666000666,499.9002010543709,-372.5249999999999,0.0
1,102,8,J9:OP3,4.467499999999999,4824,4824.0,15,False,-24.119999999999983,-520.0,0.0,72.16374119299435,244.0,30.0,227.0,473.0,571.2006660006659,499.9002010543709,-380.3624999999999,0.0
1,103,18,J19:OP4,3.897499999999999,4857,4857.0,20,False,-24.284999999999982,-525.0,0.0,72.16374119299435,244.0,30.0,233.0,479.0,575.6006660006659,499.9002010543709,-387.6999999999999,0.0
1,104,18,J19:OP5,2.952499999999999,4894,4894.0,20,False,-24.46999999999998,-530.0,0.0,72.16374119299435,244.0,30.0,239.0,485.0,580.0006660006659,499.9002010543709,-395.96249999999986,0.0
1,105,8,J9:OP4,2.0474999999999994,4937,4937.0,20,False,-24.68499999999998,-535.0,0.0,72.16374119299435,244.0,30.0,245.0,491.0,584.6006660006659,499.9002010543709,-405.29999999999984,0.0
1,106,14,J15:OP2,1.2724999999999973,4970,4970.0,20,False,-24.84999999999998,-540.0,0.0,72.16374119299435,244.0,30.0,251.0,497.0,589.2006660006659,499.9002010543709,-415.46249999999986,0.0
