episode,step,job_idx,operation_id,reward,makespan,current_time,setup_time,job_completed,reward_makespan_reward,reward_setup_reward,reward_idle_penalty,reward_deadline_reward,reward_priority_reward,reward_critical_job_reward,reward_placement_reward,reward_lookahead_reward,reward_timeliness_reward,reward_machine_idle_penalty,reward_credit_assignment_penalty
1,74,19,J20:OP1,-4.545,3571,3571.0,40,False,-17.855,-395.0,0.0,118.92696168163395,192.0,60.0,320.0,456.5000000000003,510.58204154925005,-373.5,0.0
1,75,8,J9:OP4,4.1975,3614,3614.0,20,False,-18.07,-400.0,0.0,118.92696168163395,192.0,60.0,326.0,462.1000000000003,510.58204154925005,-375.6875,0.0
1,76,9,J10:OP2,3.0625,3659,3659.0,20,False,-18.295,-405.0,0.0,118.92696168163395,192.0,60.0,332.0,467.70000000000033,510.58204154925005,-379.0,0.0
1,77,7,J8:OP3,5.079999999999999,3723,3723.0,10,False,-18.615000000000002,-407.5,0.0,118.92696168163395,192.0,60.0,337.0,473.30000000000035,510.58204154925005,-381.7,0.0
1,78,1,J2:OP5,-0.6200000000000001,3767,3767.0,20,False,-18.835,-412.5,0.0,118.92696168163395,192.0,60.0,339.0,478.9000000000004,510.58204154925005,-384.7,0.0
1,79,8,J9:OP5,6.912727272727272,3794,3794.0,15,False,-18.970000000000002,-416.25,0.0,118.92696168163395,192.0,60.0,348.0,484.3727272727277,510.58204154925005,-388.375,0.0
1,80,19,J20:OP2,-2.625,3839,3839.0,20,False,-19.195000000000004,-421.25,0.0,118.92696168163395,192.0,60.0,350.0,489.77272727272765,510.58204154925005,-393.175,0.0
1,81,7,J8:OP4,-1.8900000000000006,3912,3912.0,15,False,-19.560000000000002,-425.0,0.0,118.92696168163395,192.0,60.0,352.0,495.1727272727276,510.58204154925005,-398.35,0.0
1,82,1,J2:OP6,8.540643939393938,3948,3948.0,15,True,-19.740000000000002,-428.75,0.0,117.99987834830063,204.0,60.0,354.0,500.6454545454549,510.58204154925005,-404.425,0.0
1,83,7,J8:OP5,0.054999999999999716,4007,4007.0,10,False,-20.035000000000004,-431.25,0.0,117.99987834830063,204.0,60.0,359.0,506.0454545454549,510.58204154925005,-411.975,0.0
1,84,6,J7:OP3,-1.0700000000000003,4046,4046.0,15,False,-20.230000000000004,-435.0,0.0,117.99987834830063,204.0,60.0,365.0,511.4454545454549,510.58204154925005,-420.5,0.0
1,85,10,J11:OP2,-0.5274999999999999,4079,4079.0,20,False,-20.395000000000003,-440.0,0.0,117.99987834830063,204.0,60.0,371.0,516.8454545454549,510.58204154925005,-427.2625,0.0
1,86,8,J9:OP6,-0.6799999999999997,4145,4145.0,15,False,-20.725,-443.75,0.0,117.99987834830063,204.0,60.0,377.0,522.2454545454549,510.58204154925005,-435.2625,0.0
1,87,19,J20:OP3,-5.447272727272727,4184,4184.0,15,False,-20.92,-447.5,0.0,117.99987834830063,204.0,60.0,379.0,527.7181818181822,510.58204154925005,-444.2375,0.0
1,88,7,J8:OP6,11.905132150615495,4234,4234.0,20,True,-21.17,-452.5,0.0,116.66751049891612,224.0,60.0,381.0,533.1181818181822,510.58204154925005,-453.15000000000003,0.0
1,89,6,J7:OP4,-3.8025,4277,4277.0,20,False,-21.385,-457.5,0.0,116.66751049891612,224.0,60.0,387.0,538.5181818181821,510.58204154925005,-463.13750000000005,0.0
1,90,9,J10:OP3,-2.8257692307692306,4331,4331.0,15,False,-21.655,-461.25,0.0,116.66751049891612,224.0,60.0,393.0,543.8874125874129,510.58204154925005,-473.31250000000006,0.0
1,91,8,J9:OP7,57.01169604700854,4369,4369.0,15,True,-21.845000000000002,-465.0,0.0,115.37497577669389,256.0,90.0,399.0,549.2566433566436,510.58204154925005,-484.43750000000006,0.0
1,92,19,J20:OP4,-9.155000000000001,4425,4425.0,15,False,-22.125000000000004,-468.75,0.0,115.37497577669389,256.0,90.0,401.0,554.6566433566436,510.58204154925005,-496.96250000000003,0.0
1,93,19,J20:OP5,-9.415769230769232,4462,4462.0,20,False,-22.310000000000002,-473.75,0.0,115.37497577669389,256.0,90.0,403.0,560.0258741258743,510.58204154925005,-508.56250000000006,0.0
1,94,9,J10:OP4,-6.490769230769231,4504,4504.0,20,False,-22.520000000000003,-478.75,0.0,115.37497577669389,256.0,90.0,409.0,565.3951048951051,510.58204154925005,-521.2125000000001,0.0
1,95,6,J7:OP5,-7.660769230769231,4550,4550.0,20,False,-22.750000000000004,-483.75,0.0,115.37497577669389,256.0,90.0,415.0,570.7643356643358,510.58204154925005,-535.0125,0.0
1,96,5,J6:OP1,-2.47107142857143,4626,4626.0,40,False,-23.130000000000003,-493.75,0.0,115.37497577669389,256.0,90.0,421.0,576.1357642357644,510.58204154925005,-538.475,0.0
1,97,9,J10:OP5,7.326730769230769,4652,4652.0,15,False,-23.26,-497.5,0.0,115.37497577669389,256.0,90.0,430.0,581.5049950049952,510.58204154925005,-541.6375,0.0
1,98,15,J16:OP2,2.1589285714285706,4687,4687.0,20,False,-23.435000000000002,-502.5,0.0,115.37497577669389,256.0,90.0,436.0,586.8764235764238,510.58204154925005,-545.6750000000001,0.0
1,99,9,J10:OP6,1.19392857142857,4725,4725.0,20,False,-23.625000000000004,-507.5,0.0,115.37497577669389,256.0,90.0,442.0,592.2478521478524,510.58204154925005,-550.6625,0.0
1,100,9,J10:OP7,4.853928571428571,4751,4751.0,15,False,-23.755000000000003,-511.25,0.0,115.37497577669389,256.0,90.0,451.0,597.619280719281,510.58204154925005,-556.3000000000001,0.0
1,101,6,J7:OP6,4.022499999999999,4784,4784.0,15,False,-23.92,-515.0,0.0,115.37497577669389,256.0,90.0,460.0,603.019280719281,510.58204154925005,-562.7625,0.0
1,102,6,J7:OP7,3.258928571428571,4814,4814.0,15,False,-24.07,-518.75,0.0,115.37497577669389,256.0,90.0,469.0,608.3907092907097,510.58204154925005,-569.975,0.0
1,103,9,J10:OP8,62.52090277777778,4846,4846.0,20,True,-24.23,-523.75,0.0,113.66837855447166,292.0,120.0,475.0,613.7907092907096,510.58204154925005,-577.9875000000001,0.0
1,104,6,J7:OP8,65.69618055555556,4886,4886.0,15,True,-24.43,-527.5,0.0,111.92705911002722,328.0,150.0,484.0,619.1907092907096,510.58204154925005,-587.0000000000001,0.0
1,105,0,J1:OP1,0.4375,4951,4951.0,25,False,-24.755,-533.75,0.0,111.92705911002722,328.0,150.0,493.0,624.5907092907096,510.58204154925005,-594.3875000000002,0.0
1,106,19,J20:OP6,1.6375000000000002,4991,4991.0,15,False,-24.955,-537.5,0.0,111.92705911002722,328.0,150.0,495.0,629.9907092907096,510.58204154925005,-596.2000000000002,0.0
1,107,19,J20:OP7,14.494752186588922,5041,5041.0,10,True,-25.205,-540.0,0.0,109.83431129661614,340.0,150.0,500.0,635.3907092907095,510.58204154925005,-599.2625000000002,0.0
1,108,5,J6:OP2,4.285,5074,5074.0,20,False,-25.369999999999997,-545.0,0.0,109.83431129661614,340.0,150.0,506.0,640.7907092907095,510.58204154925005,-601.2125000000002,0.0
1,109,15,J16:OP3,4.762500000000001,5119,5119.0,15,False,-25.595,-548.75,0.0,109.83431129661614,340.0,150.0,512.0,646.1907092907095,510.58204154925005,-603.8750000000002,0.0
1,110,14,J15:OP1,6.1475,5167,5167.0,25,False,-25.834999999999997,-555.0,0.0,109.83431129661614,340.0,150.0,521.0,651.5907092907095,510.58204154925005,-605.6375000000003,0.0
1,111,10,J11:OP3,4.7775,5224,5224.0,15,False,-26.119999999999997,-558.75,0.0,109.83431129661614,340.0,150.0,527.0,656.9907092907094,510.58204154925005,-608.2250000000003,0.0
1,112,5,J6:OP3,3.5225000000000004,5277,5277.0,15,False,-26.384999999999998,-562.5,0.0,109.83431129661614,340.0,150.0,533.0,662.4407092907095,510.58204154925005,-612.1375000000003,0.0
1,113,15,J16:OP4,3.785,5320,5320.0,20,False,-26.599999999999998,-567.5,0.0,109.83431129661614,340.0,150.0,539.0,667.8907092907095,510.58204154925005,-614.5875000000003,0.0
1,114,0,J1:OP2,2.9200000000000004,5356,5356.0,20,False,-26.779999999999998,-572.5,0.0,109.83431129661614,340.0,150.0,545.0,673.3407092907096,510.58204154925005,-617.9375000000003,0.0
1,115,14,J15:OP2,6.577647058823529,5384,5384.0,15,False,-26.919999999999998,-576.25,0.0,109.83431129661614,340.0,150.0,554.0,678.8583563495331,510.58204154925005,-621.9875000000003,0.0
1,116,5,J6:OP4,2.7474999999999996,5457,5457.0,15,False,-27.284999999999997,-580.0,0.0,109.83431129661614,340.0,150.0,560.0,684.2583563495331,510.58204154925005,-626.5250000000003,0.0
1,117,5,J6:OP5,69.19690972222223,5513,5513.0,15,True,-27.564999999999998,-583.75,0.0,107.54872101883836,380.0,180.0,566.0,689.7083563495331,510.58204154925005,-632.4625000000003,0.0
1,118,10,J11:OP4,0.7201470588235281,5550,5550.0,15,False,-27.749999999999996,-587.5,0.0,107.54872101883836,380.0,180.0,572.0,695.2260034083566,510.58204154925005,-639.3250000000003,0.0
1,119,0,J1:OP3,-0.6248529411764716,5601,5601.0,15,False,-28.004999999999995,-591.25,0.0,107.54872101883836,380.0,180.0,578.0,700.7436504671801,510.58204154925005,-647.4625000000003,0.0
1,120,10,J11:OP5,-1.989852941176471,5655,5655.0,15,False,-28.274999999999995,-595.0,0.0,107.54872101883836,380.0,180.0,584.0,706.2612975260037,510.58204154925005,-656.9500000000003,0.0
1,121,10,J11:OP6,-0.6923529411764706,5692,5692.0,20,False,-28.459999999999994,-600.0,0.0,107.54872101883836,380.0,180.0,590.0,711.7789445848272,510.58204154925005,-663.9750000000003,0.0
1,122,10,J11:OP7,2.6326470588235287,5729,5729.0,15,False,-28.644999999999992,-603.75,0.0,107.54872101883836,380.0,180.0,599.0,717.2965916436507,510.58204154925005,-671.9250000000003,0.0
1,123,15,J16:OP5,-2.370000000000001,5763,5763.0,20,False,-28.814999999999994,-608.75,0.0,107.54872101883836,380.0,180.0,605.0,722.8965916436507,510.58204154925005,-680.7250000000003,0.0
1,124,14,J15:OP3,-1.1000000000000014,5813,5813.0,15,False,-29.064999999999994,-612.5,0.0,107.54872101883836,380.0,180.0,611.0,728.4965916436507,510.58204154925005,-689.4250000000003,0.0
1,125,15,J16:OP6,22.308671577212316,5863,5863.0,20,True,-29.314999999999994,-617.5,0.0,104.91474553722716,408.0,180.0,617.0,734.0142387024742,510.58204154925005,-698.7500000000003,0.0
1,126,10,J11:OP8,21.173055555555553,5912,5912.0,20,True,-29.559999999999995,-622.5,0.0,102.28280109278272,436.0,180.0,623.0,739.6142387024743,510.58204154925005,-709.3000000000003,0.0
1,127,0,J1:OP4,-5.090000000000001,5950,5950.0,20,False,-29.749999999999996,-627.5,0.0,102.28280109278272,436.0,180.0,629.0,745.2142387024743,510.58204154925005,-720.8000000000003,0.0
1,128,14,J15:OP4,-3.1975000000000007,5992,5992.0,15,False,-29.959999999999997,-631.25,0.0,102.28280109278272,436.0,180.0,635.0,750.8142387024743,510.58204154925005,-731.6375000000003,0.0
1,129,14,J15:OP5,-4.8177631578947375,6032,6032.0,20,False,-30.159999999999997,-636.25,0.0,102.28280109278272,436.0,180.0,641.0,756.5089755445796,510.58204154925005,-742.9500000000003,0.0
1,130,0,J1:OP5,-1.5725000000000016,6069,6069.0,15,False,-30.344999999999995,-640.0,0.0,102.28280109278272,436.0,180.0,650.0,762.1089755445796,510.58204154925005,-755.1875000000002,0.0
1,131,0,J1:OP6,18.53039096396906,6101,6101.0,20,True,-30.504999999999995,-645.0,0.0,99.31595521464652,464.0,180.0,656.0,767.8037123866849,510.58204154925005,-768.2250000000003,0.0
1,132,14,J15:OP6,-7.632763157894738,6144,6144.0,20,False,-30.719999999999995,-650.0,0.0,99.31595521464652,464.0,180.0,662.0,773.4984492287902,510.58204154925005,-782.3375000000002,0.0
1,133,14,J15:OP7,-11.672500000000001,6186,6186.0,15,False,-30.929999999999996,-653.75,0.0,99.31595521464652,464.0,180.0,668.0,773.0484492287901,510.58204154925005,-795.6000000000003,0.0
1,134,14,J15:OP8,49.00572664559001,6242,6242.0,10,True,-31.209999999999997,-656.25,0.0,96.30766012110611,504.0,210.0,667.4565217391304,773.0484492287901,510.58204154925005,-810.2625000000003,0.0
2,1,16,J17:OP1,28.16166024408999,38,38.0,0,False,-0.19,0.0,0.0,0.0,0.0,0.0,5.0,4.984940724126883,19.41671951996311,-1.05,0.0
2,2,2,J3:OP1,9.065260910285941,112,112.0,40,False,-0.56,-10.0,0.0,0.0,0.0,0.0,4.166666666666667,9.879525793015059,37.69072869469421,-3.95,0.0
2,3,16,J17:OP2,26.35630666125547,132,132.0,0,False,-0.66,-10.0,0.0,0.0,0.0,0.0,9.166666666666668,14.670297981416212,56.30626316754852,-5.9,0.0
2,4,7,J8:OP1,10.525740324689302,191,191.0,40,False,-0.9550000000000001,-20.0,0.0,0.0,0.0,0.0,11.166666666666668,19.400512656199936,73.5717888174541,-9.075,0.0
2,5,17,J18:OP1,8.419394586801804,253,253.0,40,False,-1.2650000000000001,-30.0,0.0,0.0,0.0,0.0,13.166666666666668,24.085549503364305,90.39114655709153,-13.849999999999998,0.0
2,6,17,J18:OP2,14.64291411059905,293,293.0,20,False,-1.465,-35.0,0.0,0.0,0.0,0.0,15.166666666666668,28.80711310477411,107.72499706628078,-18.0625,0.0
2,7,19,J20:OP1,13.045265038478735,337,337.0,25,False,-1.685,-41.25,0.0,0.0,0.0,0.0,20.166666666666668,33.470041653316244,122.38983355621738,-22.875,0.0
2,8,14,J15:OP1,7.5509198988717445,400,400.0,40,False,-2.0,-51.25,0.0,0.0,0.0,0.0,26.166666666666668,37.97436719000321,136.13892791840217,-29.2625,0.0
2,9,16,J17:OP3,23.331754501296764,434,434.0,0,False,-2.17,-51.25,0.0,0.0,0.0,0.0,31.166666666666668,42.51233578981096,152.2902138198912,-31.45,0.0
