algorithm,makespan,total_actions,completed_jobs,met_deadlines,deadline_ratio,total_tardiness,avg_tardiness,total_earliness,avg_earliness,deadline_violations,timeliness_score,high_priority_ratio,priority_weighted_avg_completion,machine_utilization,machine_balance,efficiency_ratio,avg_flowtime,run
EDF,6639.0,123,20,0,0.0,76431.0,3821.55,0.0,0.0,20,0.0,0.0,6639.0,0.9873474920921825,0.9882342498612954,0.5157403223377015,6639.0,10
CR,6815.0,123,20,0,0.0,79951.0,3997.55,0.0,0.0,20,0.0,0.0,6815.0,0.9801907556859868,0.9832734709369393,0.5024211298606016,6815.0,1
CR,6815.0,123,20,0,0.0,79951.0,3997.55,0.0,0.0,20,0.0,0.0,6815.0,0.9801907556859868,0.9832734709369393,0.5024211298606016,6815.0,2
CR,6815.0,123,20,0,0.0,79951.0,3997.55,0.0,0.0,20,0.0,0.0,6815.0,0.9801907556859868,0.9832734709369393,0.5024211298606016,6815.0,3
CR,6815.0,123,20,0,0.0,79951.0,3997.55,0.0,0.0,20,0.0,0.0,6815.0,0.9801907556859868,0.9832734709369393,0.5024211298606016,6815.0,4
CR,6815.0,123,20,0,0.0,79951.0,3997.55,0.0,0.0,20,0.0,0.0,6815.0,0.9801907556859868,0.9832734709369393,0.5024211298606016,6815.0,5
CR,6815.0,123,20,0,0.0,79951.0,3997.55,0.0,0.0,20,0.0,0.0,6815.0,0.9801907556859868,0.9832734709369393,0.5024211298606016,6815.0,6
CR,6815.0,123,20,0,0.0,79951.0,3997.55,0.0,0.0,20,0.0,0.0,6815.0,0.9801907556859868,0.9832734709369393,0.5024211298606016,6815.0,7
CR,6815.0,123,20,0,0.0,79951.0,3997.55,0.0,0.0,20,0.0,0.0,6815.0,0.9801907556859868,0.9832734709369393,0.5024211298606016,6815.0,8
CR,6815.0,123,20,0,0.0,79951.0,3997.55,0.0,0.0,20,0.0,0.0,6815.0,0.9801907556859868,0.9832734709369393,0.5024211298606016,6815.0,9
CR,6815.0,123,20,0,0.0,79951.0,3997.55,0.0,0.0,20,0.0,0.0,6815.0,0.9801907556859868,0.9832734709369393,0.5024211298606016,6815.0,10
Random,6860.0,123,20,0,0.0,80851.0,4042.55,0.0,0.0,20,0.0,0.0,6860.0,0.9818756073858115,0.9853064492704794,0.49912536443148686,6860.0,1
Random,6708.0,123,20,0,0.0,77811.0,3890.55,0.0,0.0,20,0.0,0.0,6708.0,0.9923971377459749,0.9922824727731513,0.5104353011329755,6708.0,2
Random,6806.0,123,20,0,0.0,79771.0,3988.55,0.0,0.0,20,0.0,0.0,6806.0,0.9696836124987755,0.9648087811713223,0.5030855127828386,6806.0,3
Random,6798.0,123,20,0,0.0,79611.0,3980.55,0.0,0.0,20,0.0,0.0,6798.0,0.9796999117387467,0.9811014613824885,0.5036775522212416,6798.0,4
Random,6828.0,123,20,0,0.0,80211.0,4010.55,0.0,0.0,20,0.0,0.0,6828.0,0.9796426479203281,0.9740070486649614,0.5014645577035736,6828.0,5
Random,6885.0,123,20,0,0.0,81351.0,4067.55,0.0,0.0,20,0.0,0.0,6885.0,0.9817477608327282,0.980503576422602,0.4973129992737836,6885.0,6
Random,6840.0,123,20,0,0.0,80451.0,4022.55,0.0,0.0,20,0.0,0.0,6840.0,0.9844054580896686,0.9856267192864941,0.5005847953216375,6840.0,7
Random,6844.0,123,20,0,0.0,80531.0,4026.55,0.0,0.0,20,0.0,0.0,6844.0,0.9708260276641341,0.9683144051259155,0.5002922267679719,6844.0,8
Random,6904.0,123,20,0,0.0,81731.0,4086.55,0.0,0.0,20,0.0,0.0,6904.0,0.9907300115874855,0.9902573488982626,0.4959443800695249,6904.0,9
Random,6861.0,123,20,0,0.0,80871.0,4043.55,0.0,0.0,20,0.0,0.0,6861.0,0.9828985084778701,0.9827834675769914,0.49905261623670016,6861.0,10
